source_row_id,original_date,description,amount_c,amount_d,source_amount,original_category,source_note,classification_decision,unit_scope,evidence_status,journalized,mapped_account
30,2025-10-17,Kambing Jantan Siap Kawin,3400000.0,0.0,3400000.0,Aset Biologis/Persediaan,10325000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
31,2025-10-18,Kambing Betina Muda,1500000.0,0.0,1500000.0,Aset Biologis/Persediaan,8700000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
32,2025-10-19,Kambing Betina Muda,1500000.0,0.0,1500000.0,Aset Biologis/Persediaan,8300000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
33,2025-10-20,Kambing Betina Muda,1900000.0,0.0,1900000.0,Aset Biologis/Persediaan,4600000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
34,2025-10-20,Sewa lahan pertanian,2000000.0,0.0,2000000.0,Aset Biologis/Persediaan,3300000.0,TERKLASIFIKASI — BELANJA SUMBER — SEWA DIBAYAR DI MUKA — SIKLUS PERTANIAN,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.07.02
35,2025-10-22,Beli Bekatul 120kg,240000.0,0.0,240000.0,Biaya Produksi,6400000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN BEKATUL,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.22
36,2025-10-23,Beli Pakan,100000.0,0.0,100000.0,Biaya Produksi,10800000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
37,2025-10-24,Biaya Transport,500000.0,0.0,500000.0,Ops,14220000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
38,2025-10-25,Jasa Pemelihara Kambing,900000.0,0.0,900000.0,Ops,1000000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PEMELIHARA KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.24
39,2025-10-26,Obat kesehatan Kambing,60000.0,0.0,60000.0,Biaya Produksi,500000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN OBAT DAN VITAMIN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.07
40,2025-10-27,Beli Pupuk Padi + Jasa Angkut,500000.0,0.0,500000.0,Biaya Produksi,550000.0 | 13500000.0,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
41,2025-10-28,Beli Pakan,50000.0,0.0,50000.0,Biaya Produksi,300000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
42,2025-10-29,Bayar listrik,50000.0,0.0,50000.0,Ops,300000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN LISTRIK KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.04.01
43,2025-10-30,Beli Molase Tetes,30000.0,0.0,30000.0,Biaya Produksi,640000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN MOLASE/TETES,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.23
44,2025-10-31,Kambing Jantan Siap Kawin,3100000.0,0.0,3100000.0,Aset Biologis/Persediaan,150000.0 | 41625000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
45,2025-11-01,Perawatan (Matun Padi) + Konsumsi,300000.0,0.0,300000.0,Biaya Produksi,44120000.0,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
46,2025-11-02,Jasa Pemberian Pupuk ke Tanaman Padi,250000.0,0.0,250000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
47,2025-11-04,Beli Pakan,50000.0,0.0,50000.0,Biaya Produksi,47550000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
48,2025-11-06,Mesin pencacah pakan ternak,6000000.0,0.0,6000000.0,Peralatan (Alat/mesin),31300000.0,TERKLASIFIKASI — BELANJA SUMBER — ASET MESIN PENCACAH PAKAN,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.3.03.01
49,2025-11-07,Kambing Betina Muda,1500000.0,0.0,1500000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
50,2025-11-09,Beli Pakan,140000.0,0.0,140000.0,Biaya Produksi,28700000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
51,2025-11-14,Biaya Transport,200000.0,0.0,200000.0,Ops,47550000.0,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
52,2025-11-20,Penarikan Uang,15000000.0,0.0,15000000.0,Kas Tunai,3440000.0,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
53,2025-11-21,Kambing Betina Muda,1800000.0,0.0,1800000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
54,2025-11-22,Kambing Betina Muda,1500000.0,0.0,1500000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
55,2025-11-23,Beli Konsentrat (200kg),1400000.0,0.0,1400000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN KONSENTRAT TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.21
56,2025-11-24,Beli Molase Tetes,60000.0,0.0,60000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN MOLASE/TETES,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.23
57,2025-11-25,Jasa Pemelihara Kambing,900000.0,0.0,900000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PEMELIHARA KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.24
58,2025-11-26,Biaya Transport,500000.0,0.0,500000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
59,2025-11-27,Beli Bekatul 120kg,240000.0,0.0,240000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN BEKATUL,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.22
60,2025-11-28,Beli Molase Tetes,60000.0,0.0,60000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN MOLASE/TETES,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.23
61,2025-11-29,Bayar listrik,50000.0,0.0,50000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN LISTRIK KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.04.01
62,2025-11-30,Vitamin,60000.0,0.0,60000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN OBAT DAN VITAMIN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.07
63,2025-12-02,Kambing Betina Muda,2200000.0,0.0,2200000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
64,2025-12-03,Kambing Betina Muda,2100000.0,0.0,2100000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
65,2025-12-04,Kambing Betina Muda,2100000.0,0.0,2100000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
66,2025-12-05,Banner Bumdes,180000.0,0.0,180000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN SPANDUK DAN PERSIAPAN,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.26
67,2025-12-06,Beli Pakan,140000.0,0.0,140000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
68,2025-12-07,Biaya Transport,500000.0,0.0,500000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
69,2025-12-14,Beli Molase Tetes,60000.0,0.0,60000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN MOLASE/TETES,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.23
70,2025-12-15,Vitamin,30000.0,0.0,30000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN OBAT DAN VITAMIN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.07
71,2025-12-23,Beli Pakan,100000.0,0.0,100000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
72,2025-12-25,Jasa Pemelihara Kambing,900000.0,0.0,900000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PEMELIHARA KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.24
73,2025-12-29,Bayar listrik,50000.0,0.0,50000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN LISTRIK KANDANG,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.04.01
74,2025-12-30,Perawatan (Matun Padi) + Konsumsi,300000.0,0.0,300000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
75,2026-01-15,Penarikan Uang,15000000.0,0.0,15000000.0,Kas Tunai,,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
76,2026-01-15,Biaya Bensin Pengairan Sawah + Pestisida Sawah,300000.0,0.0,300000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
77,2026-01-15,Beli Pakan,140000.0,0.0,140000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PAKAN TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.04
78,2026-01-15,Beli Konsentrat (200kg),1400000.0,0.0,1400000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN KONSENTRAT TERNAK,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.21
79,2026-01-15,Beli Bekatul 120kg,240000.0,0.0,240000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN BEKATUL,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.22
80,2026-01-15,Beli Molase Tetes,60000.0,0.0,60000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN MOLASE/TETES,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.23
81,2026-01-15,Vitamin,50000.0,0.0,50000.0,Biaya Produksi,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN OBAT DAN VITAMIN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.07
82,2026-01-15,Biaya Transport,200000.0,0.0,200000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
83,2026-01-16,Kambing Jantan,2800000.0,0.0,2800000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
84,2026-01-16,Kambing Jantan,2700000.0,0.0,2700000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
85,2026-01-16,Kambing Jantan,2600000.0,0.0,2600000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
86,2026-01-16,Kambing Jantan,2700000.0,0.0,2700000.0,Aset Biologis/Persediaan,,TERKLASIFIKASI — BELANJA SUMBER — ASET BIOLOGIS — PEMBELIAN KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,1.1.08.01
87,2026-01-16,Biaya Transport,300000.0,0.0,300000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
88,2026-01-21,Biaya Transport,50000.0,0.0,50000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN TRANSPORTASI KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.1.99.04
89,2026-01-25,Jasa Pemelihara Kambing,900000.0,0.0,900000.0,Ops,,TERKLASIFIKASI — BELANJA SUMBER — BEBAN PEMELIHARA KAMBING,PEMBIBITAN DAN BUDIDAYA KAMBING,SUMBER — belanja telah dipetakan ke akun,YA,6.2.99.24
92,2026-01-27,Penarikan Uang,10000000.0,0.0,10000000.0,,,CATATAN PENARIKAN SUMBER — TIDAK DIJURNAL DALAM MODEL BANK LANGSUNG,REKONSILIASI (BUKAN UNIT USAHA),CATATAN SUMBER — penarikan tidak dijurnal; model memakai Bank Jatim langsung,TIDAK,1.1.01.06
93,2026-01-28,Sewa tanah sawah,10000000.0,0.0,10000000.0,10 juta untuk 5 tahun. Pertahun 2juta,,TERKLASIFIKASI — BELANJA SUMBER — SEWA DIBAYAR DI MUKA — LAHAN 5 TAHUN,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.07.03
94,2026-01-29,Jasa Panen,640000.0,0.0,640000.0,"6 orang, 80rb per orang. Sewa mesin panen 100rb. Konsumsi 60rb",,TERKLASIFIKASI — BELANJA SUMBER — BIAYA PRODUKSI DALAM PROSES — SIKLUS 1,BUDIDAYA PERTANIAN,SUMBER — belanja telah dipetakan ke akun,YA,1.1.09.01
